Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A project manager prepares the charter for a project that aims to automate 30 percent of product testing. The project sponsor advises the project manager to assign senior test engineers to identify the tests that can be automated. However, the test department manager is uncooperative because they believe that the project will cause downsizing in their department. What should the project manager do first?",multiple-choice,Ask the project sponsor to provide a rationale for test automation.,,Meet with the test department manager to explain the statement of work (SOW).,,Raise the risk that the senior testing engineers will be unavailable for the testing.,,Provide objective cost-benefit evidence of test automation to the test department.,,,,,,3,"While the other options may focus on communication and stakeholder engagement, raising the risk is a strategic move to draw attention to a critical aspect that could impact the project's success. It brings the potential consequences of uncooperativeness to the forefront, prompting stakeholders to consider the broader implications for the project and the organization.",
An issue with an instrument provided by a contractor is identified during the final stages of the project. The project manager performs an impact analysis due to the issue encountered and the outcome from the analysis indicates the issue needs to be addressed immediately. What document should the project manager consult to determine how to address this issue?,multiple-choice,Communications management plan,,Change management plan,,Vendor contract,,Procurement process manual,,,,,,2,"If the impact analysis supports a change to the project, then the change management plan should be consulted.",
There are 5 key joint-sponsors in a large global project that a project manager is leading. One of the key stakeholders is no more able to get involved in the project because of illness midway through the project. What should the project manager update after it is known of the sponsors sickness?,multiple-choice,Project Charter,,Risk Register,,Project Management Plan,,Stakeholder Register & Stakeholder Engagement Plan,,,,,,4,"The stakeholder engagement plan is updated to reflect any processes, procedures, tools, or techniques that affect the engagement of stakeholders in project decisions and execution.",
"Many team members on a project team are carelessly introducing several changes to the deliverables of the project. Upon questioning the team, the PM finds that the changes are minor and hence the team feels unnecessary to perform proper testing to meet necessary standards. What part of the project management plan should the project manager review with the team?",multiple-choice,Scope management plan,,Change management plan,,Perform Integrated Change Control process,,Quality management plan,,,,,,4,"A component of the project or program management plan is the Quality Mgmt Plan that describes how applicable policies, procedures, and guidelines will be implemented to achieve the quality objectives.",
"Even after a project has gone live with the final product delivered successfully, the project manager is finding out that the team is continuing spending too much time with the operations team who are responsible for supporting the product after go-live. To what documents should the project manager refer to validate that the component was signed off and ownership transferred?",multiple-choice,"Organizational process assets updates, procurement agreements, and final report",,"Organizational process assets updates, final report, and project document updates",,"Organizational process assets updates, procurement agreements, and stakeholder engagement plan",,"Organizational process assets updates, procurement agreements, and project document updates",,,,,,2,"When closing the project, the project manager reviews the project management plan to ensure that all project work is completed and that the project has met its objectives. The project documents are updated accordingly.",
"During the project execution, a key resource contracted from an external vendor critical to the project has fallen sick and will be unavailable for an extended period of time. This will have a serious impact on the project's schedule and budget. What should the project manager do?",multiple-choice,Email the outsourced resource's manager demanding an explanation.,,Contact the key resource to determine why they will be unavailable and inform the team.,,Note this in the project file and update the project management plan.,,Provide project stakeholders with an updated delivery date and budget impact and submit a change request.,,,,,,4,Any change to the project management plan goes through the organization's change control process via a change request. Changes identified during the Monitor and Control Project Work process may affect the overall project management plan.,
"Right after a project has been kicked-off, the project manager realizes that the team will need a key hardware component from an external supplier in about 3 months. The external supplier currently engaged to deliver the component has indicated they will take more than 3 months to deliver due to supply-chain issues. The project manager immediately starts to look for alternate suppliers to check if the key component can be obtained within 3 months. What risk response strategy did the project manager use?",multiple-choice,Transfer,,Mitigate,,Accept,,Avoid,,,,,,2,"In risk mitigation, action is taken to reduce the probability of occurrence and/or impact of a threat. Early mitigation action is often more effective than trying to repair the damage after the threat has occurred.",
"During the project planning for a project, a project manager is working on developing the schedule network diagram. The project sponsor has asked the project manager to present the option where all tasks are to start as early as possible. What leads and lags relationship should the project manager select?",multiple-choice,Early start is smaller than the late start in some activities.,,Early start equals the late start in some activities.,,Early start is smaller than the late start in all activities.,,Early start equals the late start in all activities.,,,,,,4,"If the ES = LS on all tasks, they will be scheduled with no float or slack and will require all tasks to begin ASAP.",
"During the quality audit on the final product on a project, it is determined that the project team has failed to implement a critical technical aspect on the project requirement. What should the project manager do first?",multiple-choice,Meet with the project team to do root-cause analysis,,Perform a lesson learned exercise,,Initiate a change request to address the issue,,Ask the sponsor to allow the product to be rolled out,,,,,,3,"Since this missing critical aspect is needed, the normal change control processes should be followed.",
A project team implemented several changes without going through the proper change control process. Several more changes are planned to be implemented because they are from the senior leaders in the organization. What should the project manager do?,multiple-choice,Accept the change request and continue to manage the project to meet its requirements and schedule.,,Ask the project sponsor for details about changes and project performance.,,Conduct a team-building session and hope that the team gets back on track after all the changes.,,Notify the requester that the change should be handled through the change control process.,,,,,,4,It is imperative for the PM to adhere to the policies and procedures that have been outlined and agreed to in the project plan.,
